max_cisd_bars,entry,rr,stop_buffer,sr_max_atr,sweep_min_atr,rejection_min,volume_min,displacement_min_atr,ifvg_required,fvg_required,absorption,train_trades,train_wr,train_exp_r,train_pf,train_dd_r,valid_trades,valid_wr,valid_exp_r,valid_pf,valid_dd_r,target_50,robust_wr,robust_exp
8,FIB_705,4.0,0.5,0.15,,0.4,,0.5,False,False,NONE,162,34.5679012345679,0.7283950617283951,2.1132075471698117,13.0,84,38.095238095238095,0.9047619047619048,2.4615384615384617,11.0,False,34.5679012345679,0.7283950617283951
8,FIB_786,4.0,0.25,0.3,,0.4,,0.3,False,False,BASIC,136,34.55882352941176,0.7279411764705882,2.1123595505617976,10.0,61,36.0655737704918,0.8032786885245902,2.2564102564102564,8.0,False,34.55882352941176,0.7279411764705882
8,FIB_786,4.0,0.25,0.3,,0.4,1.2,0.3,False,False,NONE,136,34.55882352941176,0.7279411764705882,2.1123595505617976,10.0,61,36.0655737704918,0.8032786885245902,2.2564102564102564,8.0,False,34.55882352941176,0.7279411764705882
8,FIB_786,4.0,0.25,0.3,,0.4,1.2,0.3,False,False,BASIC,136,34.55882352941176,0.7279411764705882,2.1123595505617976,10.0,61,36.0655737704918,0.8032786885245902,2.2564102564102564,8.0,False,34.55882352941176,0.7279411764705882
3,NO_FIB,4.0,0.25,,0.05,,,0.5,False,False,NONE,1311,34.55377574370709,0.7276887871853547,2.111888111888112,13.0,600,35.66666666666667,0.7833333333333333,2.2176165803108807,11.0,False,34.55377574370709,0.7276887871853547
5,NO_FIB,4.0,0.25,0.5,0.15,,,0.75,False,False,NONE,403,35.23573200992556,0.7617866004962779,2.176245210727969,10.0,194,34.5360824742268,0.7268041237113402,2.1102362204724407,10.0,False,34.5360824742268,0.7268041237113402
5,NO_FIB,4.0,0.5,0.5,0.15,,,0.75,False,False,NONE,401,35.41147132169576,0.770573566084788,2.193050193050193,10.0,194,34.5360824742268,0.7268041237113402,2.1102362204724407,10.0,False,34.5360824742268,0.7268041237113402
3,FIB_705,4.0,0.5,0.15,,0.4,,0.3,False,False,NONE,223,34.52914798206278,0.726457399103139,2.1095890410958904,16.0,106,37.735849056603776,0.8867924528301887,2.4242424242424243,12.0,False,34.52914798206278,0.726457399103139
5,FIB_705,4.0,0.5,0.15,,0.4,,0.3,False,False,NONE,226,34.51327433628318,0.7256637168141593,2.108108108108108,16.0,108,38.88888888888889,0.9444444444444444,2.5454545454545454,12.0,False,34.51327433628318,0.7256637168141593
3,FIB_786,4.0,0.5,0.15,,0.4,,0.3,False,False,NONE,192,35.9375,0.796875,2.2439024390243905,12.0,87,34.48275862068966,0.7241379310344828,2.1052631578947367,12.0,False,34.48275862068966,0.7241379310344828
5,NO_FIB,4.0,0.25,,0.05,,,0.5,False,False,NONE,1381,34.46777697320782,0.723388848660391,2.103867403314917,13.0,622,35.69131832797427,0.7845659163987139,2.22,12.0,False,34.46777697320782,0.723388848660391
8,NO_FIB,4.0,0.25,0.5,0.05,,,0.5,False,False,NONE,832,34.49519230769231,0.7247596153846154,2.106422018348624,13.0,383,34.46475195822455,0.7232375979112271,2.103585657370518,13.0,False,34.46475195822455,0.7232375979112271
8,FIB_705,4.0,0.25,0.15,,0.3,,0.5,False,False,NONE,206,34.46601941747573,0.7233009708737864,2.103703703703704,13.0,119,34.45378151260504,0.7226890756302521,2.102564102564102,11.0,False,34.45378151260504,0.7226890756302521
8,FIB_705,4.0,0.5,0.15,,0.3,,0.5,False,False,NONE,206,34.46601941747573,0.7233009708737864,2.103703703703704,13.0,119,34.45378151260504,0.7226890756302521,2.102564102564102,11.0,False,34.45378151260504,0.7226890756302521
8,NO_FIB,4.0,0.25,0.15,,,,0.5,False,False,NONE,455,37.8021978021978,0.8901098901098901,2.431095406360424,8.0,209,34.44976076555024,0.722488038277512,2.102189781021898,8.0,False,34.44976076555024,0.722488038277512
3,NO_FIB,4.0,0.5,,0.05,,,0.5,False,False,NONE,1301,34.435049961568026,0.7217524980784013,2.100820633059789,13.0,595,35.96638655462185,0.7983193277310925,2.2467191601049867,11.0,False,34.435049961568026,0.7217524980784013
5,FIB_786,4.0,0.25,0.3,,0.4,,,False,False,BASIC,183,34.42622950819672,0.7213114754098361,2.1,7.0,81,34.5679012345679,0.7283950617283951,2.1132075471698117,10.0,False,34.42622950819672,0.7213114754098361
5,FIB_786,4.0,0.25,0.3,,0.4,1.2,,False,False,NONE,183,34.42622950819672,0.7213114754098361,2.1,7.0,81,34.5679012345679,0.7283950617283951,2.1132075471698117,10.0,False,34.42622950819672,0.7213114754098361
5,FIB_786,4.0,0.25,0.3,,0.4,1.2,,False,False,BASIC,183,34.42622950819672,0.7213114754098361,2.1,7.0,81,34.5679012345679,0.7283950617283951,2.1132075471698117,10.0,False,34.42622950819672,0.7213114754098361
5,FIB_786,4.0,0.5,0.3,,0.4,,0.3,False,False,BASIC,134,35.07462686567165,0.753731343283582,2.160919540229885,10.0,61,34.42622950819672,0.7213114754098361,2.1,8.0,False,34.42622950819672,0.7213114754098361
5,FIB_786,4.0,0.5,0.3,,0.4,1.2,0.3,False,False,NONE,134,35.07462686567165,0.753731343283582,2.160919540229885,10.0,61,34.42622950819672,0.7213114754098361,2.1,8.0,False,34.42622950819672,0.7213114754098361
5,FIB_786,4.0,0.5,0.3,,0.4,1.2,0.3,False,False,BASIC,134,35.07462686567165,0.753731343283582,2.160919540229885,10.0,61,34.42622950819672,0.7213114754098361,2.1,8.0,False,34.42622950819672,0.7213114754098361
8,FIB_786,4.0,0.5,0.3,,0.4,,0.3,False,False,BASIC,136,34.55882352941176,0.7279411764705882,2.1123595505617976,10.0,61,34.42622950819672,0.7213114754098361,2.1,8.0,False,34.42622950819672,0.7213114754098361
8,FIB_786,4.0,0.5,0.3,,0.4,1.2,0.3,False,False,NONE,136,34.55882352941176,0.7279411764705882,2.1123595505617976,10.0,61,34.42622950819672,0.7213114754098361,2.1,8.0,False,34.42622950819672,0.7213114754098361
8,FIB_786,4.0,0.5,0.3,,0.4,1.2,0.3,False,False,BASIC,136,34.55882352941176,0.7279411764705882,2.1123595505617976,10.0,61,34.42622950819672,0.7213114754098361,2.1,8.0,False,34.42622950819672,0.7213114754098361
