cisd_type,max_cisd_bars,entry,rr,volume_filter,wick_filter,sweep_atr_filter,stop_buffer,trades,trades_per_day,win_rate,net_r,expectancy_r,profit_factor,max_drawdown_r,max_losing_streak,avg_mfe_r,avg_mae_r,sweet_spot_4_6,acceptable_3_8
EXTREME_OPEN,8,FIB_786,2.5,0.0,0.4,0.15,0.5,1276,4.063694267515924,43.495297805642636,666.5,0.5223354231974922,1.9244105409153953,13.5,12,2.226241393796572,1.1393351561501086,True,True
LAST_OPPOSING,5,CISD,2.5,0.0,0.4,0.15,0.25,1865,5.939490445859873,43.988919667590025,974.0,0.5222520107238606,1.9634025717111772,18.5,11,1.8614556660216943,0.8655740787718378,True,True
EXTREME_OPEN,5,FIB_705,2.5,0.0,0.3,0.15,0.25,1824,5.808917197452229,43.49972572682392,952.5,0.522203947368421,1.924757281553398,13.0,12,2.117471240095137,1.0580702920272187,True,True
EXTREME_OPEN,8,FIB_786,3.0,0.0,0.4,0.0,0.5,1646,5.24203821656051,38.054711246200604,859.0,0.5218712029161604,1.8429833169774288,14.0,12,2.410680065312984,1.260361849584869,True,True
EXTREME_OPEN,8,FIB_786,3.0,0.0,0.4,0.05,0.5,1562,4.974522292993631,38.028169014084504,814.0,0.5211267605633803,1.8409090909090908,13.0,13,2.396853731616844,1.2333035370791083,True,True
EXTREME_OPEN,5,FIB_705,2.5,0.0,0.4,0.0,0.25,1823,5.805732484076433,43.468715697036224,950.0,0.5211190345584202,1.9223300970873787,18.0,13,2.1429243163164444,1.0883514478497307,True,True
LAST_OPPOSING,5,FIB_786,3.0,1.2,0.0,0.15,0.5,1303,4.149681528662421,38.0184331797235,678.0,0.5203376822716808,1.8401486988847584,20.0,13,2.3293955109124305,1.2119644204343885,True,True
EXTREME_OPEN,8,FIB_786,3.0,1.2,0.0,0.15,0.25,1306,4.159235668789809,38.00766283524904,679.0,0.5199081163859112,1.8393077873918418,17.0,14,2.392209303564892,1.254062040057881,True,True
LAST_OPPOSING,3,CISD,3.0,1.2,0.0,0.15,0.25,1822,5.802547770700637,38.82078225335668,947.0,0.5197585071350165,1.9036259541984732,18.0,12,2.0679675108232756,0.9116123784777703,True,True
EXTREME_OPEN,8,FIB_786,3.0,0.0,0.4,0.15,0.5,1275,4.060509554140127,37.96078431372549,661.0,0.5184313725490196,1.8356510745891277,13.0,13,2.3698180204171337,1.2163881166053276,True,True
EXTREME_OPEN,8,FIB_705,2.5,0.0,0.4,0.05,0.25,1743,5.550955414012739,43.373493975903614,903.0,0.5180722891566265,1.9148936170212767,14.0,11,2.133655459993479,1.0711281022529329,True,True
EXTREME_OPEN,8,FIB_786,3.0,0.0,0.3,0.15,0.5,1651,5.25796178343949,37.93939393939394,854.0,0.5172622652937614,1.833984375,15.0,11,2.387391526296994,1.2184503403452474,True,True
LAST_OPPOSING,8,FIB_786,3.0,1.2,0.0,0.0,0.25,1550,4.936305732484076,37.895416397675916,799.0,0.515483870967742,1.8305613305613306,19.0,15,2.370272470065074,1.2381838675674122,True,True
LAST_OPPOSING,3,FIB_705,2.5,0.0,0.4,0.05,0.25,1619,5.156050955414012,43.29833230389129,834.5,0.5154416306361952,1.909041394335512,19.5,9,2.1204585808828624,1.0716237975831984,True,True
LAST_OPPOSING,3,FIB_705,2.5,0.0,0.4,0.0,0.25,1706,5.43312101910828,43.28445747800587,878.0,0.5146541617819461,1.907962771458118,20.0,10,2.126861006187202,1.0883059927331828,True,True
